"";"index";"rainfalls_values";"station"
"85";"chirps-v2.0.2017.01";48,2315444946289;"49.98546_2.42236"
"86";"chirps-v2.0.2017.02";44,9069786071777;"49.98546_2.42236"
"87";"chirps-v2.0.2017.03";59,6177368164062;"49.98546_2.42236"
"88";"chirps-v2.0.2017.04";14,804027557373;"49.98546_2.42236"
"89";"chirps-v2.0.2017.05";64,381233215332;"49.98546_2.42236"
"90";"chirps-v2.0.2017.06";45,0063438415527;"49.98546_2.42236"
"91";"chirps-v2.0.2017.07";72,7252502441406;"49.98546_2.42236"
"92";"chirps-v2.0.2017.08";59,0798110961914;"49.98546_2.42236"
"93";"chirps-v2.0.2017.09";62,4850273132324;"49.98546_2.42236"
"94";"chirps-v2.0.2017.10";24,925760269165;"49.98546_2.42236"
"95";"chirps-v2.0.2017.11";69,9727172851562;"49.98546_2.42236"
"96";"chirps-v2.0.2017.12";98,0685272216797;"49.98546_2.42236"
"97";"chirps-v2.0.2018.01";96,8515243530273;"49.98546_2.42236"
"98";"chirps-v2.0.2018.02";40,6580963134766;"49.98546_2.42236"
"99";"chirps-v2.0.2018.03";77,5458450317383;"49.98546_2.42236"
"100";"chirps-v2.0.2018.04";37,0921325683594;"49.98546_2.42236"
"101";"chirps-v2.0.2018.05";89,4986190795898;"49.98546_2.42236"
"102";"chirps-v2.0.2018.06";38,0024108886719;"49.98546_2.42236"
"103";"chirps-v2.0.2018.07";50,6758232116699;"49.98546_2.42236"
"104";"chirps-v2.0.2018.08";57,2348022460938;"49.98546_2.42236"
"105";"chirps-v2.0.2018.09";27,9837074279785;"49.98546_2.42236"
"106";"chirps-v2.0.2018.10";34,3853759765625;"49.98546_2.42236"
"107";"chirps-v2.0.2018.11";59,2000846862793;"49.98546_2.42236"
"108";"chirps-v2.0.2018.12";92,1158065795898;"49.98546_2.42236"
"109";"chirps-v2.0.2019.01";50,0957527160645;"49.98546_2.42236"
"110";"chirps-v2.0.2019.02";51,8515625;"49.98546_2.42236"
"111";"chirps-v2.0.2019.03";59,1493606567383;"49.98546_2.42236"
"112";"chirps-v2.0.2019.04";31,1713981628418;"49.98546_2.42236"
"113";"chirps-v2.0.2019.05";41,1948547363281;"49.98546_2.42236"
"114";"chirps-v2.0.2019.06";37,5672416687012;"49.98546_2.42236"
"115";"chirps-v2.0.2019.07";41,492073059082;"49.98546_2.42236"
"116";"chirps-v2.0.2019.08";58,339485168457;"49.98546_2.42236"
"117";"chirps-v2.0.2019.09";39,2493209838867;"49.98546_2.42236"
"118";"chirps-v2.0.2019.10";71,9136581420898;"49.98546_2.42236"
"119";"chirps-v2.0.2019.11";92,7673797607422;"49.98546_2.42236"
"120";"chirps-v2.0.2019.12";103,144836425781;"49.98546_2.42236"
"121";"chirps-v2.0.2020.01";47,3660049438477;"49.98546_2.42236"
"122";"chirps-v2.0.2020.02";121,222663879395;"49.98546_2.42236"
"123";"chirps-v2.0.2020.03";43,3444786071777;"49.98546_2.42236"
"124";"chirps-v2.0.2020.04";25,0562400817871;"49.98546_2.42236"
"125";"chirps-v2.0.2020.05";37,2610015869141;"49.98546_2.42236"
"126";"chirps-v2.0.2020.06";40,0054359436035;"49.98546_2.42236"
